"CASEID","POINT_X","POINT_Y","YEAR_","LOCATION","CHPTYPE","DAYWEEK","CRASHSEV","VIOLCAT","KILLED","INJURED","WEATHER1","PEDCOL","BICCOL","MCCOL","TRUCKCOL","ETOH","TIMECAT","MONTH_","CRASHTYP","INVOLVE","PED","PRIMARYRD","SECONDRD","DISTANCE","DIRECT","INTERSECT_","PROCDATE","JURIS","DATE_","TIME_","BADGE","JURIDIST","SHIFT","POP","SPECIAL","BEATTYPE","LAPDDIV","BEATCLAS","BEATNUMB","WEATHER2","STATEHW","CALTRANC","CALTRAND","STROUTE","ROUTESUF","POSTPRE","POSTMILE","LOCATYPE","RAMP","SIDEHW","TOWAWAY","PARTIES","PCF","VIOLCODE","VIOL","VIOLSUB","HITRUN","ROADSURF","RDCOND1","RDCOND2","LIGHTING","RIGHTWAY","CHPRDTYP","NOTPRIV","STFAULT","CHPFAULT","SEVINJ","OTHERINJ","COP","PEDKILL","PEDINJ","BICKILL","BICINJ","MCKILL","MCINJURE","RAMP1","RAMP2","CITY","COUNTY","STATE","X_CHP","Y_CHP"
"6413841",0,0,2012,"1942","0","2","3","09",0,1,"B",,,,,,1800,1,"B","C","A","ROSCOMARE RD","SARBONNE LN",1056,"N","N","2014-04-01",1942,"2012-01-31",1500,"41324","0806","5","7","0","0","H","0","8A12","-","N",,0,0,,,0,,,,"Y",2,"A","-",21801,"A","N","A","H","-","A","D","0","Y","A","01",0,1,0,0,0,0,0,0,0,"-","-","LOS ANGELES","LOS ANGELES","CA",0,0
"6348475",-118.208608594,33.873498484,2012,"1900","3","1","4","03",0,1,"A",,,,,,1800,1,"C","C","A","RT 91","SUSANA RD",528,"W","N","2014-02-01",9530,"2012-01-30",1715,"15235",,"2","9","0","1",,"2","310","-","Y","LA",7,91,"-","R",10.71,"H","-","E","Y",2,"A","-",22350,,"N","A","H","-","B","D","1","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","UNINCORPORATED","LOS ANGELES","CA",-118.20821,33.87339
"6216712",-118.21056857,33.9253968593,2012,"1943","1","4","4","03",0,4,"A",,,,,,600,1,"C","C","A","RT 105","LONG BEACH BL",150,"W","N","2014-01-18",9530,"2012-01-12",555,"20315",,"3","5","0","1",,"2","210","-","Y",,0,0,,,0,,,,"Y",6,"A","-",22350,,"F","A","H","-","C","D","0","Y","-","99",0,0,4,0,0,0,0,0,0,"-","-","LYNWOOD","LOS ANGELES","CA",-118.21148,33.92575
"6071228",-118.53604044,34.1689133023,2012,"1942","0","5","4","00",0,1,"A",,,,,,300,1,"B","C","A","RESEDA BL","VENTURA BL",45,"E","N","2013-07-19",1942,"2012-01-13",145,"38771","1063","5","7","0","0","J","0","9T53","-","N",,0,0,,,0,,,,"N",2,"D","-",0,,"N","A","H","-","C","A","0","Y","-","-",0,0,1,0,0,0,0,0,0,"-","-","LOS ANGELES","LOS ANGELES","CA",0,0
"6063954",-118.168332939,34.114790321,2012,"1970","0","4","4","18",0,1,"A",,"Y",,,,1200,1,"H","-","A","ARROYO DR","STONEY DR",444,"S","N","2014-01-28",1970,"2012-01-19",1100,"180","1970","5","4","0","0",,"0","001","-","N",,0,0,,,0,,,,"N",1,"C","-",0,,"N","A","G","-","A","D","0","Y","-","-",0,0,1,0,0,0,1,0,0,"-","-","SOUTH PASADENA","LOS ANGELES","CA",0,0
"6002874",-118.082742278,33.90540497,2012,"1949","0","1","4","09",0,1,"A",,,,,,1800,1,"D","C","A","PIONEER BL","ORANGE ST",0,,"Y","2014-01-22",1900,"2012-01-30",1735,"487835","0453","5","6","0","0",,"0","43T1","-","N",,0,0,,,0,,,,"Y",2,"A","-",21801,"A","N","A","H","-","C","A","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","NORWALK","LOS ANGELES","CA",0,0
"5999551",-118.468965879,34.167946968,2012,"1942","1","3","3","07",0,1,"A",,,,,,1200,1,"B","C","A","RT 405","BURBANK BL",1056,"S","N","2014-01-18",9580,"2012-01-18",905,"20119",,"1","7","0","1",,"2","405","-","Y","LA",7,405,"-","-",40.09,"H","-","S","Y",2,"A","-",21658,"A","F","A","H","-","A","D","1","Y","-","99",0,1,0,0,0,0,0,0,0,"-","-","LOS ANGELES","LOS ANGELES","CA",-118.46871,34.1685
"5980867",-118.280739902,33.98370305,2012,"1942","1","6","3","08",0,2,"A",,,,,,600,1,"A","I","A","RT 110","SLAUSON AV",198,"S","N","2014-01-25",9590,"2012-01-21",505,"20351",,"3","7","0","1",,"2","051","-","Y","LA",7,110,"-","-",17.54,"H","-","S","Y",1,"A","-",22107,,"N","A","H","-","C","D","1","Y","A","01",0,2,0,0,0,0,0,0,0,"-","-","LOS ANGELES","LOS ANGELES","CA",0,0
"5980827",-118.281312134,34.009364883,2012,"1942","1","1","4","03",0,1,"B",,,,,,1800,1,"C","C","A","RT 110","37TH ST",200,"S","N","2014-01-24",9590,"2012-01-23",1546,"17586",,"2","7","0","1",,"2","051","-","Y","LA",7,110,"-","-",19.548,"R","3","S","Y",2,"A","-",22350,,"N","A","H","-","A","A","1","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","LOS ANGELES","LOS ANGELES","CA",-118.2821,34.01626
"5980823",-118.300854271,34.0851457169,2012,"1942","2","6","2","11",0,1,"A","Y",,,,,2400,1,"G","B","E","RT 101","NORMANDIE AV",150,"N","N","2014-02-11",9590,"2012-01-21",2115,"017867",,"2","7","0","1",,"2","072","-","Y",,0,0,,,0,,,,"Y",2,"A","-",21953,,"N","A","H","-","A","D","0","Y","N","60",1,0,0,0,1,0,0,0,0,"-","-","LOS ANGELES","LOS ANGELES","CA",-118.30077,34.08501
