"CASEID","PARNUM","PTYPE","ATFAULT","PSEX","PAGE","PSOBER","PDRUG","PDIRECT","PSAFETY1","PSAFETY2","INSURED","HAZARD","CELL","SBUS","PVIOLCOD","PVIOLCAT","PVIOL","PVIOLSUF","OAF1","OAF2","PKILLED","PINJURED","MOVEMENT","VEHYEAR","VEHMAKE","VEHTYPE","CHPTYPE1","CHPTYPE2","PRACE","INATTN","TRUCKCMB","TRAILRCMB","YEAR_"
"5980867",1,"1","Y","M",57,"A","-","S","L","G","Y","-","3","-","-","-",0,,"M","-",0,2,"R",1997,"HONDA","A","01","00","B",,"-","-",2012
"5980827",2,"1","Y","M",18,"A","-","S","L","G","Y","-","3","-","-","-",0,,"N","-",0,0,"B",1996,"FORD","A","01","00","W",,"-","-",2012
"5980827",1,"1","N","F",56,"A","-","S","M","G","Y","-","3","-","-","-",0,,"N","-",0,1,"A",2001,"KIA","A","07","00","B",,"-","-",2012
"5980823",2,"1","N","F",31,"A","-","N","M","G","Y","-","3","-","-","-",0,,"N","-",0,0,"-",2005,"NISSAN","A","01","00","O",,"-","-",2012
"5980823",1,"2","Y","M",50,"G","G","W","-","-","O","-","3","-","-","-",0,,"N","-",0,1,"B",0,"-","N","60","00","B",,"-","-",2012
"5949859",3,"3","N","-",998,"H","H","N","-","-","O","-","3","-","-","-",0,,"N","-",0,0,"O",2001,"INFINITI","A","01","00",,,"-","-",2012
"5949859",2,"1","N","M",29,"A","-","N","M","G","Y","-","3","-","-","-",0,,"N","-",0,0,"B",1994,"TOYOTA","A","01","00","H",,"-","-",2012
"5949859",1,"1","Y","F",47,"A","-","W","M","G","Y","-","3","-","-","-",0,,"N","-",0,1,"E",2005,"HONDA","A","01","00","B",,"-","-",2012
"5949647",2,"1","N","M",29,"-",,"N","M","G","Y","-","-","-","-","-",0,,"-","-",0,1,"-",2009,"VOLKSWAGEN","A","01","00","O",,"-","-",2012
"5949647",1,"1","Y","M",21,"-",,"S","M","G","N","-","-","-","-","-",0,,"-","-",0,0,"-",1987,"TOYOTA","A","01","00","W",,"-","-",2012
"5947039",2,"1","N","F",20,"A","-","E","M","E","Y","-","-","-","-","-",0,,"N","-",0,1,"B",1992,"TOYOTA","A","01","00","B",,"-","-",2012
"5947039",1,"1","Y","-",998,"G","G","E","-","-",,"-","-","-",,"31",22107,,"A","-",0,0,"J",0,"NISSAN","A","01","00",,,"-","-",2012
