"CASEID","PARNUM","VTYPE","VSEX","VAGE","VINJURY","VSEAT","VSAFETY1","VSAFETY2","VEJECTED","YEAR_"
"6413841",1,"1","F",26,"3","1","G","-","0",2012
"6348475",2,"1","M",38,"4","1","M","G","0",2012
"6216712",4,"2","M",28,"4","6","M","G","0",2012
"6216712",4,"2","M",36,"4","4","M","G","0",2012
"6216712",4,"1","M",29,"4","1","L","G","0",2012
"6216712",3,"1","M",59,"4","1","M","L","0",2012
"6071228",2,"2","M",55,"0","3","M","G","0",2012
"6071228",1,"2","M",20,"0","3","M","G","0",2012
"6071228",1,"1","F",20,"4","1","M","G","0",2012
"6063954",1,"4","M",42,"4","1","P","W","0",2012
"6002874",2,"2","F",19,"4","6","M","-","0",2012
"5999551",2,"1","M",64,"3","1","M","G","0",2012
"5999551",1,"2","F",25,"0","3","M","G","0",2012
"5980867",1,"1","M",58,"3","1","L","G","0",2012
"5980867",1,"2","M",14,"3","6","P","G","0",2012
"5980867",1,"2","F",6,"0","4","P","Q","0",2012
"5980867",1,"2","M",14,"0","3","L","G","0",2012
"5980827",1,"1","F",57,"4","1","M","G","0",2012
"5980823",1,"3","M",1,"2","0","P","-","0",2012
"5949859",1,"1","F",48,"4","1","M","G","0",2012
"5949647",2,"1","M",30,"4","1","M","G","0",2012
"5947039",2,"1","F",20,"4","1","M","E","0",2012
"5947038",2,"2","F",17,"4","3","P","G","0",2012
"5947038",2,"1","M",44,"4","1","P","G","0",2012
"5947038",1,"1","F",25,"4","1","L","G","0",2012
"5947035",1,"2","F",22,"0","6","H","-","0",2012
"5947035",1,"2","M",20,"0","3","H","-","0",2012
"5947035",1,"2","F",19,"4","5","H","-","0",2012
"5947035",1,"2","F",18,"4","4","H","-","0",2012
"5947034",2,"2","M",9,"4","3","M","G","0",2012
"5947034",2,"1","M",60,"4","1","M","G","0",2012
"5947031",2,"2","F",53,"4","3","G","-","0",2012
"5947031",2,"1","F",30,"4","1","L","G","0",2012
"5947031",1,"2","F",34,"4","3","G","-","0",2012
"5947031",1,"1","M",21,"3","1","L","G","0",2012
"5947030",2,"1","M",50,"3","1","L","G","0",2012
"5947027",3,"2","F",62,"4","3","M","G","0",2012
"5947023",2,"3","F",60,"4","1","-","-","3",2012
"5947022",1,"1","F",73,"3","1","L","G","0",2012
"5947019",2,"1","F",74,"4","1","M","G","0",2012
"5947019",1,"2","-",20,"0","2","M","B","0",2012
"5947015",1,"1","F",29,"4","1","M","G","0",2012
"5947011",2,"3","M",44,"4","1","P","-","0",2012
"5947007",2,"3","M",53,"2","9","-","-","3",2012
"5947003",2,"1","F",29,"4","1","M","G","3",2012
"5946999",2,"3","F",52,"3","9","-","-","3",2012
"5946996",1,"2","F",19,"4","6","G","-","3",2012
"5946996",1,"2","F",19,"4","3","G","-","3",2012
"5946996",1,"1","F",19,"4","1","H","-","3",2012
"5946995",2,"1","F",28,"4","1","L","G","0",2012
"5946995",2,"2","F",10,"0","3","L","G","0",2012
"5946992",2,"5","F",51,"4","1","M","B","0",2012
"5946992",1,"1","F",47,"4","1","M","B","0",2012
"5946991",2,"2","F",998,"0","3","M","G","0",2012
"5946991",2,"1","F",45,"4","1","M","B","0",2012
"5946988",2,"1","M",46,"4","1","L","G","0",2012
"5946988",1,"2","M",23,"4","6","L","B","0",2012
"5946988",1,"2","M",30,"4","3","L","B","0",2012
"5946987",2,"2","M",9,"0","9","-","-","3",2012
"5946987",1,"3","F",17,"4","9","-","-","3",2012
"5946984",2,"4","M",23,"2","9","-","-","3",2012
"5946983",1,"2","F",17,"4","3","L","G","0",2012
"5946980",2,"2","F",15,"4","9","M","G","0",2012
"5946980",2,"2","M",49,"4","3","L","G","0",2012
"5946980",2,"1","F",53,"4","1","L","G","0",2012
"5946980",1,"2","F",998,"0","6","M","Q","0",2012
"5946980",1,"2","F",24,"0","3","L","G","0",2012
"5946979",2,"4","F",57,"4","9","P","V","0",2012
"5946976",1,"4","M",21,"4","1","P","V","0",2012
"5946972",1,"4","M",65,"3","9","P","V","2",2012
"5946968",2,"1","F",20,"4","1","M","B","0",2012
"5946964",2,"1","M",29,"4","1","G","-","3",2012
"5946553",3,"2","M",24,"0","3","M","G","0",2012
"5946553",3,"1","M",25,"4","1","M","G","0",2012
"5946553",2,"1","M",46,"4","1","M","G","0",2012
"5946482",2,"3","F",22,"4","9","-","-","3",2012
"5946482",1,"1","M",19,"3","1","M","G","0",2012
"5927466",2,"2","F",4,"0","6","M","Q","0",2012
"5927466",2,"2","F",29,"4","3","M","G","0",2012
"5927466",2,"1","F",46,"4","1","M","G","0",2012
"5922067",2,"2","M",33,"0","7","P","G","0",2012
"5922067",2,"2","M",17,"0","4","P","G","0",2012
"5922067",2,"2","M",41,"0","3","M","G","0",2012
"5922067",1,"1","M",52,"4","1","M","G","0",2012
"5921494",2,"4","F",16,"4","9","-","-","0",2012
"5921490",2,"1","M",31,"4","1","W","-","0",2012
"5893386",2,"1","F",63,"4","1","L","G","0",2012
"5893378",2,"1","M",32,"4","1","P","W","3",2012
"5893370",1,"3","M",54,"2","0","P","-","0",2012
"5893366",1,"2","F",998,"0","5","M","G","0",2012
"5893366",1,"2","F",24,"4","3","M","B","0",2012
"5891698",2,"1","M",62,"3","1","P","G","0",2012
"5862043",1,"2","F",27,"3","3","G","-","3",2012
"5841953",1,"2","F",51,"0","3","M","G","0",2012
"5841953",1,"2","M",11,"4","5","P","C","0",2012
"5814932",2,"2","M",42,"0","9","-","-","3",2012
"5814932",1,"1","M",39,"4","1","M","H","3",2012
"5814833",2,"2","M",998,"0","3","M","G","0",2012
"5814833",1,"1","M",44,"4","1","M","G","0",2012
"5814768",1,"1","M",50,"4","1","M","G","0",2012
"5804377",2,"2","F",1,"0","6","L","Q","0",2012
"5804377",2,"2","F",25,"4","3","L","G","0",2012
"5804377",2,"1","M",48,"4","1","L","G","0",2012
"5804377",1,"1","M",31,"4","1","L","G","0",2012
"5778245",2,"1","F",44,"4","1","M","G","0",2012
"5761482",2,"1","M",40,"2","1","L","G","0",2012
"5761482",1,"1","M",21,"2","1","L","H","0",2012
"5761478",3,"3","F",22,"3","9","-","P","0",2012
"5761478",1,"2","M",20,"0","3","M","G","0",2012
"5761474",2,"1","-",22,"4","1","P","W","0",2012
"5761470",1,"4","M",47,"4","1","P","V","0",2012
"5761466",3,"2","F",20,"4","6","M","-","0",2012
"5761466",3,"2","M",31,"4","3","M","G","0",2012
"5761466",2,"2","M",998,"4","3","M","G","0",2012
"5761466",1,"2","M",1,"0","6","M","N","0",2012
"5761466",1,"1","F",21,"4","1","M","G","0",2012
"5761462",2,"3","F",61,"4","9","-","-","3",2012
"5761458",2,"4","M",29,"4","1","-","-","1",2012
"5761454",4,"2","F",40,"0","3","M","G","0",2012
"5761454",2,"2","M",41,"4","3","L","G","0",2012
"5761454",2,"1","M",41,"4","1","L","G","0",2012
"5761450",2,"1","F",41,"4","1","M","G","0",2012
"5761450",1,"1","M",68,"4","1","L","G","0",2012
"5761446",1,"1","M",18,"3","1","L","G","0",2012
"5761442",1,"2","F",16,"4","3","L","G","0",2012
"5745359",3,"1","F",16,"4","1","M","G","0",2012
"5745359",2,"1","F",34,"4","1","M","G","0",2012
"5732077",2,"1","F",47,"4","1","G","-","0",2012
"5732073",2,"4","M",30,"4","1","P","V","0",2012
"5732073",1,"2","F",28,"0","3","M","G","0",2012
"5732069",1,"4","M",30,"3","1","P","V","3",2012
"5732065",2,"2","F",39,"0","6","P","G","0",2012
"5732065",2,"2","M",35,"4","4","P","G","0",2012
"5732065",1,"1","M",33,"4","1","L","G","0",2012
"5732061",2,"1","F",36,"4","1","M","-","3",2012
"5732057",1,"3","F",47,"3","9","P","-","3",2012
"5732053",1,"3","F",12,"4","9","-","-","3",2012
"5732049",2,"1","F",78,"4","1","M","G","0",2012
"5732045",2,"1","M",48,"4","1","P","W","3",2012
"5732041",1,"2","M",57,"4","3","M","G","0",2012
"5732041",1,"1","M",34,"4","1","M","G","0",2012
"5732037",1,"4","F",18,"4","1","P","V","0",2012
"5728903",2,"1","-",30,"4","1","M","G","0",2012
"5691555",1,"1","F",63,"4","1","M","G","0",2012
"5682467",2,"4","M",79,"2","1","V","-","1",2012
"5682415",2,"1","F",39,"3","1","M","E","0",2012
"5681684",2,"1","M",58,"4","1","G","-","0",2012
"5681684",2,"2","F",55,"4","3","G","-","0",2012
"5666752",1,"1","F",23,"4","1","M","B","0",2012
"5666748",2,"2","F",1,"0","6","P","Q","0",2012
"5666748",2,"2","F",18,"0","3","M","B","0",2012
"5666748",1,"5","M",24,"2","1","P","V","1",2012
"5666744",2,"1","F",52,"4","1","M","G","0",2012
"5666744",1,"1","F",21,"4","1","L","G","0",2012
"5666740",2,"2","M",38,"4","2","M","B","0",2012
"5666740",2,"1","M",40,"4","1","M","B","0",2012
"5666736",1,"4","M",25,"4","1","-","V","1",2012
"5666102",4,"2","M",47,"0","3","M","G","0",2012
"5666102",2,"2","F",38,"4","3","M","G","0",2012
"5666102",2,"1","F",51,"4","1","M","G","0",2012
"5666100",1,"1","M",79,"4","1","M","F","0",2012
"5666099",2,"2","M",2,"0","6","M","Q","0",2012
"5666099",2,"2","-",5,"0","5","M","Q","0",2012
"5666099",1,"4","M",36,"4","1","P","V","1",2012
"5666098",2,"1","M",25,"4","1","L","G","0",2012
"5642478",1,"1","F",76,"4","1","M","G","0",2012
"5639078",1,"1","M",44,"1","1","L","B","0",2012
"5638486",2,"2","F",57,"1","1","L","B","0",2012
"5638486",1,"2","M",10,"0","6","P","G","0",2012
"5638486",1,"2","F",9,"0","4","P","G","0",2012
"5638486",1,"2","M",38,"0","3","L","G","0",2012
"5638341",3,"2","M",8,"4","3","L","G","0",2012
"5638341",3,"2","F",39,"3","6","H","G","0",2012
"5638341",3,"1","F",44,"4","1","L","G","0",2012
"5638341",2,"1","F",20,"4","1","L","G","0",2012
"5638341",1,"1","M",30,"1","1","L","G","0",2012
"5638030",2,"3","F",76,"1","9","-","-","3",2012
"5637674",2,"2","M",30,"0","9","M","P","0",2012
"5637674",2,"2","M",34,"4","9","M","P","0",2012
"5637674",2,"2","M",59,"0","9","M","P","0",2012
"5637674",2,"2","F",51,"4","9","M","P","0",2012
"5637674",2,"2","F",60,"0","9","M","P","0",2012
"5637674",2,"2","M",998,"4","9","M","P","0",2012
"5637674",2,"2","F",998,"4","9","M","P","0",2012
"5636586",2,"1","M",20,"4","1","P","W","1",2012
"5631061",2,"1","M",39,"2","1","A","W","1",2012
"5627070",4,"1","M",37,"4","1","P","W","1",2012
"5627070",2,"2","F",22,"4","5","M","G","0",2012
"5627070",2,"2","M",25,"4","4","M","G","0",2012
"5627070",2,"2","F",27,"4","3","M","G","0",2012
"5627070",2,"1","F",33,"4","1","M","G","0",2012
"5627070",1,"1","F",51,"4","1","M","G","0",2012
"5627070",1,"2","F",38,"4","7","M","G","0",2012
"5627070",1,"2","F",18,"4","7","M","G","0",2012
"5627070",1,"2","F",49,"4","7","M","G","0",2012
"5627070",1,"2","F",41,"4","6","M","G","0",2012
"5627070",1,"2","F",16,"4","3","M","G","0",2012
"5624715",2,"4","M",21,"4","1","P","V","1",2012
"5615757",1,"1","F",46,"4","1","G","-","0",2012
"5615753",2,"1","F",36,"4","1","M","G","0",2012
"5615751",1,"2","M",21,"0","5","M","B","0",2012
